"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16516",2017-01-02 03:00:00,1.543,"OFF",0.03,0.685448005,0,0,0,0,0,0,0,0,0
"16517",2017-01-02 03:15:00,1.541,"OFF",0.03,0.684429883,0,0,0,0,0,0,0,0,0
"16518",2017-01-02 03:30:00,1.542,"OFF",0.03,0.683411761,0,0,0,0,0,0,0,0,0
"16519",2017-01-02 03:45:00,1.541,"OFF",0.03,0.686954059,0,0,0,0,0,0,0,0,0
"16520",2017-01-02 04:00:00,1.543,"OFF",0.03,0.690496357,0,0,0,0,0,0,0,0,0
"16521",2017-01-02 04:15:00,1.546,"OFF",0.03,0.6874392665,0,0,0,0,0,0,0,0,0
"16522",2017-01-02 04:30:00,1.544,"OFF",0.03,0.684382176,0,0,0,0,0,0,0,0,0
"16523",2017-01-02 04:45:00,1.543,"OFF",0.03,0.6845354775,0,0,0,0,0,0,0,0,0
"16524",2017-01-02 05:00:00,1.546,"OFF",0.03,0.684688779,0,0,0,0,0,0,0,0,0
"16525",2017-01-02 05:15:00,1.545,"OFF",0.03,0.682239778,0,0,0,0,0,0,0,0,0
"16526",2017-01-02 05:30:00,1.545,"OFF",0.03,0.679790777,0,0,0,0,0,0,0,0,0
"16527",2017-01-02 05:45:00,1.545,"OFF",0.03,0.6790810225,0,0,0,0,0,0,0,0,0
"16528",2017-01-02 06:00:00,1.544,"OFF",0.03,0.678371268,0,0,0,0,0,0,0,0,0
"16529",2017-01-02 06:15:00,1.545,"OFF",0.03,0.676129068,0,0,0,0,0,0,0,0,0
"16530",2017-01-02 06:30:00,1.545,"OFF",0.03,0.673886868,0,0,0,0,0,0,0,0,0
"16531",2017-01-02 06:45:00,1.545,"OFF",0.03,0.677863635,0,0,0,0,0,0,0,0,0
"16532",2017-01-02 07:00:00,1.545,"OFF",0.03,0.681840402,0,0,0,0,0,0,0,0,0
"16533",2017-01-02 07:15:00,1.546,"OFF",0.03,0.6777394915,0,0,0,0,0,0,0,0,0
"16534",2017-01-02 07:30:00,1.546,"OFF",0.03,0.673638581,0,0,0,0,0,0,0,0,0
"16535",2017-01-02 07:45:00,1.546,"OFF",0.03,0.6698603495,0,0,0,0,0,0,0,0,0
"16536",2017-01-02 08:00:00,1.544,"OFF",0.03,0.666082118,0,0,0,0,0,0,0,0,0
"16537",2017-01-02 08:15:00,1.545,"OFF",0.03,0.662572454,0,0,0,0,0,0,0,0,0
"16538",2017-01-02 08:30:00,1.547,"OFF",0.03,0.65906279,0,0,0,0,0,0,0,0,0
"16539",2017-01-02 08:45:00,1.547,"OFF",0.03,0.6630512655,0,0,0,0,0,0,0,0,0
"16540",2017-01-02 09:00:00,1.546,"OFF",0.03,0.667039741,0,0,0,0,0,0,0,0,0
"16541",2017-01-02 09:15:00,1.547,"OFF",0.03,0.6692059835,0,0,0,0,0,0,0,0,0
"16542",2017-01-02 09:30:00,1.549,"OFF",0.03,0.671372226,0,0,0,0,0,0,0,0,0
"16543",2017-01-02 09:45:00,1.548,"OFF",0.03,0.6722143625,0,0,0,0,0,0,0,0,0
"16544",2017-01-02 10:00:00,1.549,"OFF",0.03,0.673056499,0,0,0,0,0,0,0,0,0
"16545",2017-01-02 10:15:00,1.55,"OFF",0.03,0.669496754,0,0,0,0,0,0,0,0,0
"16546",2017-01-02 10:30:00,1.548,"OFF",0.03,0.665937009,0,0,0,0,0,0,0,0,0
"16547",2017-01-02 10:45:00,1.548,"OFF",0.03,0.66912367,0,0,0,0,0,0,0,0,0
"16548",2017-01-02 11:00:00,1.55,"OFF",0.03,0.672310331,0,0,0,0,0,0,0,0,0
"16549",2017-01-02 11:15:00,1.551,"OFF",0.03,0.6738115965,0,0,0,0,0,0,0,0,0
"16550",2017-01-02 11:30:00,1.551,"OFF",0.03,0.675312862,0,0,0,0,0,0,0,0,0
"16551",2017-01-02 11:45:00,1.552,"OFF",0.03,0.672186782,0,0,0,0,0,0,0,0,0
"16552",2017-01-02 12:00:00,1.552,"OFF",0.03,0.669060702,0,0,0,0,0,0,0,0,0
"16553",2017-01-02 12:15:00,1.552,"OFF",0.03,0.665483208,0,0,0,0,0,0,0,0,0
"16554",2017-01-02 12:30:00,1.554,"OFF",0.03,0.661905714,0,0,0,0,0,0,0,0,0
"16555",2017-01-02 12:45:00,1.554,"OFF",0.03,0.6617273295,0,0,0,0,0,0,0,0,0
"16556",2017-01-02 13:00:00,1.556,"OFF",0.03,0.661548945,0,0,0,0,0,0,0,0,0
"16557",2017-01-02 13:15:00,1.554,"OFF",0.03,0.6641989695,0,0,0,0,0,0,0,0,0
"16558",2017-01-02 13:30:00,1.559,"OFF",0.03,0.666848994,0,0,0,0,0,0,0,0,0
"16559",2017-01-02 13:45:00,1.561,"OFF",0.03,0.6627350395,0,0,0,0,0,0,0,0,0
"16560",2017-01-02 14:00:00,1.561,"OFF",0.03,0.658621085,0,0,0,0,0,0,0,0,0
"16561",2017-01-02 14:15:00,1.566,"OFF",0.03,0.6624171855,0,0,0,0,0,0,0,0,0
"16562",2017-01-02 14:30:00,1.567,"OFF",0.03,0.666213286,0,0,0,0,0,0,0,0,0
"16563",2017-01-02 14:45:00,1.567,"OFF",0.03,0.6660173925,0,0,0,0,0,0,0,0,0
"16564",2017-01-02 15:00:00,1.567,"OFF",0.03,0.665821499,0,0,0,0,0,0,0,0,0
"16565",2017-01-02 15:15:00,1.567,"OFF",0.03,0.6631867335,0,0,0,0,0,0,0,0,0
"16566",2017-01-02 15:30:00,1.568,"OFF",0.03,0.660551968,0,0,0,0,0,0,0,0,0
"16567",2017-01-02 15:45:00,1.569,"OFF",0.03,0.6568027495,0,0,0,0,0,0,0,0,0
"16568",2017-01-02 16:00:00,1.569,"OFF",0.03,0.653053531,0,0,0,0,0,0,0,0,0
"16569",2017-01-02 16:15:00,1.569,"OFF",0.03,0.6552226095,0,0,0,0,0,0,0,0,0
"16570",2017-01-02 16:30:00,1.569,"OFF",0.03,0.657391688,0,0,0,0,0,0,0,0,0
"16571",2017-01-02 16:45:00,1.568,"OFF",0.03,0.6483117485,0,0,0,0,0,0,0,0,0
"16572",2017-01-02 17:00:00,1.569,"OFF",0.03,0.639231809,0,0,0,0,0,0,0,0,0
"16573",2017-01-02 17:15:00,1.569,"OFF",0.03,0.6376630505,0,0,0,0,0,0,0,0,0
"16574",2017-01-02 17:30:00,1.569,"OFF",0.03,0.636094292,0,0,0,0,0,0,0,0,0
"16575",2017-01-02 17:45:00,1.568,"OFF",0.03,0.6381077075,0,0,0,0,0,0,0,0,0
"16576",2017-01-02 18:00:00,1.569,"OFF",0.03,0.640121123,0,0,0,0,0,0,0,0,0
"16577",2017-01-02 18:15:00,1.569,"OFF",0.03,0.6385055545,0,0,0,0,0,0,0,0,0
"16578",2017-01-02 18:30:00,1.569,"OFF",0.03,0.636889986,0,0,0,0,0,0,0,0,0
"16579",2017-01-02 18:45:00,1.569,"OFF",0.03,0.637940986,0,0,0,0,0,0,0,0,0
"16580",2017-01-02 19:00:00,1.569,"OFF",0.03,0.638991986,0,0,0,0,0,0,0,0,0
"16581",2017-01-02 19:15:00,1.569,"OFF",0.03,0.640091044,0,0,0,0,0,0,0,0,0
"16582",2017-01-02 19:30:00,1.57,"OFF",0.03,0.641190102,0,0,0,0,0,0,0,0,0
"16583",2017-01-02 19:45:00,1.571,"OFF",0.03,0.641349556,0,0,0,0,0,0,0,0,0
"16584",2017-01-02 20:00:00,1.571,"OFF",0.03,0.64150901,0,0,0,0,0,0,0,0,0
"16585",2017-01-02 20:15:00,1.571,"OFF",0.03,0.640269939,0,0,0,0,0,0,0,0,0
"16586",2017-01-02 20:30:00,1.57,"OFF",0.03,0.639030868,0,0,0,0,0,0,0,0,0
"16587",2017-01-02 20:45:00,1.571,"OFF",0.03,0.6367694175,0,0,0,0,0,0,0,0,0
"16588",2017-01-02 21:00:00,1.57,"OFF",0.03,0.634507967,0,0,0,0,0,0,0,0,0
"16589",2017-01-02 21:15:00,1.568,"OFF",0.03,0.6372478625,0,0,0,0,0,0,0,0,0
"16590",2017-01-02 21:30:00,1.571,"OFF",0.03,0.639987758,0,0,0,0,0,0,0,0,0
